grupo,codigo,materia,semestre,cupo,inscritos,disponibles
4CM4,C406,"TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB",4,36,35,1
4CM5,C402,"PROBABILIDAD Y ESTADISTICA",4,36,35,1
4CV1,C401,"TEORIA DE LA COMPUTACION",4,36,35,1
4CV1,C407,"SISTEMAS OPERATIVOS",4,36,35,1
4CV2,C406,"TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB",4,36,35,1
4CV4,C401,"TEORIA DE LA COMPUTACION",4,36,35,1
5CM1,C502,"PROCESAMIENTO DIGITAL DE SEÑALES",5,34,33,1
5CM2,C503,"ARQUITECTURA DE COMPUTADORAS",5,36,35,1
5CM2,C504,"INSTRUMENTACION Y CONTROL",5,36,35,1
5CM6,C502,"PROCESAMIENTO DIGITAL DE SEÑALES",5,36,35,1
5CV3,C501,"COMPILADORES",5,33,32,1
5CV4,C504,"INSTRUMENTACION Y CONTROL",5,36,35,1
6CM1,C618,"INGENIERIA DE SOFTWARE",6,36,35,1
6CM2,C602,"SISTEMAS EN CHIP",6,36,35,1
6CM3,C608,"INTERNET DE LAS COSAS|EMBEDDED SYSTEMS",6,36,35,1
6CM4,C602,"SISTEMAS EN CHIP",6,36,35,1
6CM4,C619,"APLICACIONES PARA COMUNICACIONES EN RED",6,34,33,1
6CM6,C612,"ALGORITMOS BIOINSPIRADOS|GENETIC ALGORITHMS",6,1,0,1
6CV1,C618,"INGENIERIA DE SOFTWARE",6,36,35,1
6CV2,C618,"INGENIERIA DE SOFTWARE",6,36,35,1
6CV3,C603,"METODOS CUANTITATIVOS PARA LA TOMA DE DECISIONES",6,35,34,1
6CV3,C610,"CRIPTOGRAFIA|INTRODUCTION TO CRYPTOGRAPHY",6,36,35,1
6CV3,C618,"INGENIERIA DE SOFTWARE",6,34,33,1
6CV4,C602,"SISTEMAS EN CHIP",6,34,33,1
7CM1,C701,"TRABAJO TERMINAL I",7,36,35,1
7CM3,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,36,35,1
7CM4,C701,"TRABAJO TERMINAL I",7,36,35,1
7CV1,C702,"SISTEMAS DISTRIBUIDOS",7,36,35,1
7CV1,C717,"DESARROLLO DE APLICACIONES MOVILES NATIVAS",7,36,35,1
7CV1,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,35,34,1
7CV3,C702,"SISTEMAS DISTRIBUIDOS",7,36,35,1
7CV4,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,36,35,1
7CV6,C711,"ALGORITMOS BIOINSPIRADOS|BIOINFORMATICS",7,1,0,1
8CM1,C802,"LIDERAZGO PERSONAL",8,35,34,1
8CM1,C805,"DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION",8,36,35,1
8CM2,C802,"LIDERAZGO PERSONAL",8,36,35,1
8CM4,C805,"DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION",8,36,35,1
8CV1,C803,"GESTION EMPRESARIAL",8,34,33,1
1CM2,C102,"MATEMATICAS DISCRETAS",1,36,36,0
1CM2,C104,"ANALISIS VECTORIAL",1,36,36,0
1CM3,C102,"MATEMATICAS DISCRETAS",1,36,36,0
1CM4,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,36,0
1CM4,C102,"MATEMATICAS DISCRETAS",1,36,36,0
1CM4,C103,"CALCULO",1,36,36,0
1CM5,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,36,0
1CM5,C102,"MATEMATICAS DISCRETAS",1,36,36,0
1CM8,C103,"CALCULO",1,36,36,0
1CV1,C104,"ANALISIS VECTORIAL",1,36,36,0
1CV1,C105,"COMUNICACION ORAL Y ESCRITA",1,36,36,0
1CV2,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,36,0
1CV2,C102,"MATEMATICAS DISCRETAS",1,36,36,0
1CV2,C104,"ANALISIS VECTORIAL",1,36,36,0
1CV3,C104,"ANALISIS VECTORIAL",1,36,36,0
1CV5,C105,"COMUNICACION ORAL Y ESCRITA",1,36,36,0
